A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
158,0.719781949,2.439678359,0.43939951,2.541796235,0.105987393,0.176466095,0.129128357,332023773.6,3.52503,1.06168E-08,7,-332023773.6
159,0.365638959,2.878089983,0.149775708,2.83955803,0.108262883,0.201451479,0.126666429,305420435.9,2.76079,9.03931E-09,7,-305420435.9
160,1.027848314,2.841120718,0.445709629,2.459415533,0.122085536,0.180701675,0.127400219,309950335.3,3.04741,9.83193E-09,7,-309950335.3
161,0.730474873,2.958545132,0.446260661,2.645145727,0.104686326,0.180574884,0.127421461,299495795.4,2.42113,8.08402E-09,7,-299495795.4
162,0.731311912,1.587600696,0.46520654,2.541805381,0.143230149,0.148695482,0.179201137,374621873.4,6.88806,1.83867E-08,7,-374621873.4
163,0.288906484,1.687556217,0.158315582,2.220566295,0.176039717,0.127956101,0.249037258,378710075.6,6.99451,1.84693E-08,7,-378710075.6
164,0.505629878,1.521143777,0.450817922,3.361328269,0.274236384,0.175342613,0.12794296,399337553.7,11.6827,2.92552E-08,7,-399337553.7
165,0.767512927,2.317740282,0.449238879,2.541805381,0.149522923,0.145784654,0.168619846,348308350.9,5.14232,1.47637E-08,7,-348308350.9
166,1.344710916,1.685996901,0.38148001,2.274414186,0.263621196,0.212769163,0.227279197,414399361.1,11.8299,2.85471E-08,7,-414399361.1
167,0.480835699,1.665739991,0.08042784,2.187960716,0.241897917,0.270614388,0.258231238,402642798.5,10.6435,2.64341E-08,7,-402642798.5
168,1.243611032,1.768385738,0.080549759,4.146694606,0.193994207,0.160855391,0.122407634,396187086.5,8.91623,2.25051E-08,7,-396187086.5
169,1.114659403,2.184124522,0.446409437,2.459924473,0.105987393,0.17469268,0.129711335,254678513.5,5.591181455,6.0688E-09,7,-243408459.6
170,1.004234125,2.981974162,0.425285264,2.562130116,0.109232841,0.109840592,0.127421461,301131340.9,2.52757,8.39358E-09,7,-301131340.9
171,0.468844066,1.653484263,0.080593151,2.208130557,0.240083514,0.270614388,0.258231238,402410969.7,10.6354,2.64292E-08,7,-402410969.7
172,1.117395439,2.240200236,0.132323223,3.513934595,0.170608249,0.110425726,0.147589619,349152058.1,5.49911,1.57499E-08,7,-349152058.1
173,0.730474873,2.958545132,0.446260661,2.645145727,0.106896015,0.180574884,0.127421461,300264608,2.47603,8.24616E-09,7,-300264608
174,1.243611032,1.772771802,0.080549759,4.182658313,0.195808613,0.160855391,0.122407634,398033501.3,8.98688,2.25782E-08,7,-398033501.3
175,0.293174097,1.755940718,0.481786084,2.462748259,0.16845117,0.123587002,0.249955683,372442263.2,7.11834,1.91126E-08,7,-372442263.2
176,1.089224155,2.825430449,0.446923435,2.446406331,0.129675307,0.17976511,0.15736152,312471746.2,3.27636,1.04853E-08,7,-312471746.2
177,0.689268865,2.300658919,0.447427184,2.539360586,0.148463257,0.145400521,0.168619846,349129427.4,5.15329,1.47604E-08,7,-349129427.4
178,0.293174097,1.500887244,0.483596635,2.232728262,0.177099384,0.123971137,0.249955683,390648371.7,7.96032,2.03772E-08,7,-390648371.7
179,1.280969991,1.764679261,0.095181397,4.07789606,0.176039717,0.133840252,0.242539012,388440985.3,7.5161,1.93494E-08,7,-388440985.3
180,0.882461068,1.732820569,0.420311379,2.283479508,0.200320704,0.158998395,0.119224998,393608375.4,8.68859,2.20742E-08,7,-393608375.4
181,0.491050611,1.655913793,0.370502641,2.273210158,0.278696265,0.209414419,0.225088778,407479413.7,11.9257,2.9267E-08,7,-407479413.7
182,1.394830467,1.647998072,0.08042784,2.178588419,0.242696217,0.270614388,0.258231238,414373554,11.3015,2.72737E-08,7,-414373554
183,0.696711235,2.958545132,0.449166832,2.64892402,0.154914577,0.180574884,0.127421461,311438157.4,3.63875,1.16837E-08,7,-311438157.4
184,0.865367577,2.317740282,0.446332707,2.538027089,0.10128628,0.145784654,0.168619846,340173064.4,3.72282,1.09439E-08,7,-340173064.4
185,1.292012665,1.521143777,0.369297741,3.524559429,0.263084143,0.180074137,0.126977907,410205247.1,11.7797,2.87166E-08,7,-410205247.1
186,0.547362727,1.649969174,0.144624528,2.274414186,0.286134322,0.212405426,0.227279197,407131805.3,11.8672,2.91483E-08,7,-407131805.3
187,1.114659403,2.257109633,0.439014425,2.541870134,0.105987393,0.103351851,0.129711335,346897567.1,3.95824,1.14104E-08,7,-346897567.1
188,0.719781949,2.446857578,0.425549878,2.559115396,0.105987393,0.181578652,0.159068405,331868172.8,3.56068,1.07292E-08,7,-331868172.8
189,0.919824955,1.720044541,0.433831235,2.212073363,0.175212919,0.131983255,0.250463503,391025312.6,7.63125,1.9516E-08,7,-391025312.6
